filename,width,height,class,xmin,ymin,xmax,ymax
000005.jpg,500,375,chair,263,211,324,339
000005.jpg,500,375,chair,165,264,253,372
000005.jpg,500,375,chair,5,244,67,374
000005.jpg,500,375,chair,241,194,295,299
000005.jpg,500,375,chair,277,186,312,220
000007.jpg,500,333,car,141,50,500,330
000012.jpg,500,333,car,156,97,351,270
000016.jpg,334,500,bicycle,92,72,305,473
000020.jpg,375,500,car,33,148,371,416
000023.jpg,334,500,bicycle,9,230,245,500
000023.jpg,334,500,bicycle,230,220,334,500
000023.jpg,334,500,bicycle,2,178,90,500
000023.jpg,334,500,person,2,1,117,369
000023.jpg,334,500,person,3,2,243,462
000023.jpg,334,500,person,225,1,334,486
000024.jpg,500,335,train,196,165,489,247
000026.jpg,500,333,car,90,125,337,212
000033.jpg,500,366,aeroplane,9,107,499,263
000033.jpg,500,366,aeroplane,421,200,482,226
000033.jpg,500,366,aeroplane,325,188,411,223
000044.jpg,500,333,chair,1,1,370,330
000044.jpg,500,333,cat,99,101,312,213
000046.jpg,332,500,bird,211,234,317,366
000047.jpg,500,333,car,15,1,459,312
000047.jpg,500,333,chair,439,170,487,230
000048.jpg,375,500,bird,58,107,291,465
000048.jpg,375,500,person,2,1,302,500
000052.jpg,500,333,pottedplant,414,232,458,263
000052.jpg,500,333,pottedplant,291,237,333,270
000052.jpg,500,333,pottedplant,183,238,227,273
000052.jpg,500,333,pottedplant,52,244,99,274
000052.jpg,500,333,pottedplant,62,96,107,132
000052.jpg,500,333,pottedplant,184,94,225,128
000061.jpg,500,333,boat,274,11,437,279
000061.jpg,500,333,boat,184,214,281,252
000063.jpg,500,375,dog,123,115,379,275
000063.jpg,500,375,chair,75,1,428,375
000064.jpg,496,500,bird,1,23,451,500
000077.jpg,500,333,cat,240,1,500,333
000077.jpg,500,333,cat,2,1,306,333
000078.jpg,500,419,dog,15,75,475,412
000078.jpg,500,419,dog,94,41,437,238
000091.jpg,500,375,car,125,241,195,284
000091.jpg,500,375,car,81,248,105,268
000091.jpg,500,375,car,91,250,126,274
000099.jpg,500,375,cat,4,77,320,252
000101.jpg,500,333,chair,185,58,348,186
000101.jpg,500,333,person,40,64,400,333
000102.jpg,500,375,sofa,416,175,500,314
000102.jpg,500,375,sofa,121,134,352,274
000104.jpg,500,333,tvmonitor,403,110,500,265
000104.jpg,500,333,person,291,75,442,333
000104.jpg,500,333,person,2,7,283,333
000107.jpg,500,375,sheep,471,174,500,227
000107.jpg,500,375,cow,296,149,334,178
000107.jpg,500,375,sheep,242,146,259,169
000109.jpg,500,254,bird,17,12,482,235
000110.jpg,500,375,person,79,233,110,314
000110.jpg,500,375,person,54,231,86,344
000110.jpg,500,375,person,31,233,50,303
000113.jpg,500,332,person,277,101,354,260
000117.jpg,500,333,aeroplane,1,42,498,284
000118.jpg,500,375,cat,164,97,281,375
000120.jpg,500,400,dog,66,121,440,276
000122.jpg,475,480,cat,36,20,430,474
000123.jpg,500,375,train,1,26,358,340
000125.jpg,500,375,bicycle,425,218,500,275
000125.jpg,500,375,person,436,188,467,223
000125.jpg,500,375,person,382,209,415,272
000125.jpg,500,375,person,353,213,383,276
000129.jpg,334,500,bicycle,70,202,255,500
000129.jpg,334,500,bicycle,251,242,334,500
000129.jpg,334,500,bicycle,1,144,67,436
000129.jpg,334,500,person,1,1,66,363
000129.jpg,334,500,person,74,1,272,462
000129.jpg,334,500,person,252,19,334,487
000130.jpg,500,375,boat,4,1,500,249
000131.jpg,500,333,car,1,99,475,266
000131.jpg,500,333,person,124,125,172,153
000131.jpg,500,333,person,184,121,226,154
000132.jpg,500,421,bus,43,66,279,363
000133.jpg,447,500,person,73,18,406,500
000133.jpg,447,500,horse,135,227,338,500
000133.jpg,447,500,person,22,1,75,101
000133.jpg,447,500,horse,42,58,137,104
000134.jpg,500,371,car,1,115,487,330
000138.jpg,500,332,person,6,56,154,285
000138.jpg,500,332,person,145,58,283,258
000138.jpg,500,332,person,224,54,440,332
000138.jpg,500,332,person,363,96,500,332
000140.jpg,500,401,dog,107,146,386,300
000140.jpg,500,401,sofa,2,113,500,401
000141.jpg,500,423,bird,25,53,418,399
000143.jpg,500,333,cat,170,46,500,333
000147.jpg,500,333,chair,33,105,65,146
000147.jpg,500,333,chair,77,114,114,149
000147.jpg,500,333,chair,146,125,175,150
000147.jpg,500,333,chair,227,132,247,154
000147.jpg,500,333,chair,302,127,327,153
000147.jpg,500,333,chair,373,121,402,153
000147.jpg,500,333,chair,435,112,465,149
000153.jpg,500,375,car,237,147,358,191
000153.jpg,500,375,car,138,56,166,70
000153.jpg,500,375,car,47,114,118,125
000153.jpg,500,375,car,3,109,64,122
000154.jpg,500,333,boat,59,76,367,266
000154.jpg,500,333,boat,441,193,458,213
000161.jpg,500,390,car,104,34,446,390
000161.jpg,500,390,car,68,195,121,288
000162.jpg,500,375,tvmonitor,306,227,380,299
000162.jpg,500,375,person,196,143,309,369
000165.jpg,500,386,person,89,54,500,386
000169.jpg,500,333,car,23,28,480,284
000169.jpg,500,333,person,102,3,161,50
000169.jpg,500,333,car,439,23,500,178
000169.jpg,500,333,person,419,39,444,81
000169.jpg,500,333,person,454,36,487,71
000169.jpg,500,333,car,12,46,104,132
000173.jpg,394,480,person,106,64,270,297
000173.jpg,394,480,horse,109,64,288,464
000174.jpg,500,333,person,143,5,426,333
000177.jpg,500,375,diningtable,59,152,461,375
000177.jpg,500,375,person,344,150,500,375
000177.jpg,500,375,person,321,85,456,362
000177.jpg,500,375,person,304,92,391,209
000177.jpg,500,375,person,280,88,337,172
000177.jpg,500,375,person,163,67,261,163
000177.jpg,500,375,person,125,94,164,166
000177.jpg,500,375,person,75,87,158,231
000177.jpg,500,375,person,1,112,97,375
000180.jpg,500,375,car,14,110,496,356
000184.jpg,500,375,boat,289,106,338,192
000184.jpg,500,375,boat,375,144,403,188
000184.jpg,500,375,boat,458,154,480,190
000184.jpg,500,375,boat,2,1,312,375
000187.jpg,500,375,tvmonitor,1,95,240,336
000193.jpg,500,375,person,80,4,500,375
000193.jpg,500,375,person,1,29,227,375
000193.jpg,500,375,sofa,2,125,500,375
000198.jpg,500,335,train,160,134,286,239
000200.jpg,500,249,person,28,19,103,167
000200.jpg,500,249,person,16,54,178,249
000200.jpg,500,249,person,147,23,245,249
000200.jpg,500,249,person,227,19,400,249
000200.jpg,500,249,person,391,13,500,249
000200.jpg,500,249,bottle,364,212,389,249
000200.jpg,500,249,bottle,231,145,260,210
000203.jpg,500,333,chair,52,166,167,332
000207.jpg,334,500,bus,1,205,113,320
000209.jpg,500,375,cat,14,76,400,375
000210.jpg,500,374,car,377,211,404,225
000210.jpg,500,374,person,443,211,468,235
000210.jpg,500,374,person,323,214,335,226
000210.jpg,500,374,person,15,214,37,240
000214.jpg,500,375,horse,205,1,500,375
000215.jpg,500,468,cat,144,81,338,411
000218.jpg,500,333,dog,253,64,383,255
000218.jpg,500,333,chair,107,1,202,174
000218.jpg,500,333,person,1,1,253,222
000219.jpg,333,500,motorbike,120,333,310,464
000222.jpg,500,375,diningtable,178,216,303,326
000222.jpg,500,375,person,250,237,362,375
000222.jpg,500,375,person,114,236,227,375
000222.jpg,500,375,bottle,221,223,235,266
000222.jpg,500,375,bottle,234,213,245,256
000222.jpg,500,375,person,341,149,376,216
000222.jpg,500,375,person,158,191,185,221
000222.jpg,500,375,person,159,177,206,230
000222.jpg,500,375,person,252,178,311,228
000222.jpg,500,375,person,291,193,332,241
000222.jpg,500,375,person,318,209,373,330
000222.jpg,500,375,person,100,206,170,342
000222.jpg,500,375,person,444,283,500,375
000222.jpg,500,375,chair,366,243,394,375
000222.jpg,500,375,chair,367,217,390,269
000225.jpg,500,333,sheep,125,96,355,263
000225.jpg,500,333,sheep,2,22,47,81
000228.jpg,500,333,aeroplane,92,82,314,228
000229.jpg,500,375,diningtable,95,209,421,375
000229.jpg,500,375,person,399,219,486,371
000229.jpg,500,375,person,341,161,432,298
000229.jpg,500,375,person,384,135,437,203
000229.jpg,500,375,person,239,131,337,211
000229.jpg,500,375,person,148,144,211,255
000229.jpg,500,375,person,81,160,197,327
000229.jpg,500,375,person,2,188,107,375
000229.jpg,500,375,bottle,354,301,382,370
000229.jpg,500,375,bottle,39,124,54,161
000229.jpg,500,375,chair,461,189,500,282
000232.jpg,500,375,cow,47,92,376,334
000232.jpg,500,375,person,230,32,252,93
000232.jpg,500,375,boat,404,71,500,119
000232.jpg,500,375,boat,1,49,88,92
000232.jpg,500,375,boat,55,68,126,90
000233.jpg,500,375,sheep,277,106,483,267
000233.jpg,500,375,car,1,2,451,193
000236.jpg,500,381,bird,88,169,275,314
000241.jpg,500,375,boat,356,183,500,280
000241.jpg,500,375,boat,60,109,142,213
000241.jpg,500,375,boat,246,134,348,217
000245.jpg,500,375,car,18,131,488,292
000245.jpg,500,375,person,303,139,329,171
000246.jpg,500,375,dog,60,44,331,310
000249.jpg,500,333,chair,67,188,183,330
000249.jpg,500,333,chair,108,174,160,205
000249.jpg,500,333,chair,156,169,202,195
000249.jpg,500,333,chair,173,184,274,326
000249.jpg,500,333,chair,268,182,316,307
000249.jpg,500,333,chair,269,160,314,186
000249.jpg,500,333,chair,307,119,376,228
000249.jpg,500,333,diningtable,102,177,324,302
000250.jpg,500,375,diningtable,1,170,474,375
000250.jpg,500,375,bottle,97,124,150,297
000251.jpg,453,500,car,1,474,149,500
000251.jpg,453,500,car,2,450,83,475
000251.jpg,453,500,car,96,435,275,500
000251.jpg,453,500,car,362,440,453,500
000251.jpg,453,500,person,52,429,70,469
000251.jpg,453,500,person,13,421,29,450
000251.jpg,453,500,person,21,429,39,461
000256.jpg,500,343,aeroplane,8,96,491,232
000257.jpg,500,375,tvmonitor,82,1,183,57
000257.jpg,500,375,person,20,142,222,375
000257.jpg,500,375,person,175,68,472,375
000262.jpg,500,196,car,343,96,500,196
000263.jpg,375,500,car,19,224,355,323
000263.jpg,375,500,car,1,355,69,499
000269.jpg,500,332,bottle,185,264,205,320
000269.jpg,500,332,bottle,298,245,326,312
000269.jpg,500,332,bottle,240,1,261,26
000269.jpg,500,332,bottle,157,1,174,27
000269.jpg,500,332,bottle,139,1,155,28
000269.jpg,500,332,person,227,56,497,213
000269.jpg,500,332,person,91,59,245,261
000269.jpg,500,332,person,37,134,203,332
000269.jpg,500,332,person,226,75,413,274
000269.jpg,500,332,person,258,114,477,332
000275.jpg,476,480,person,204,50,339,301
000275.jpg,476,480,horse,57,109,418,433
000278.jpg,500,375,dog,294,156,500,375
000278.jpg,500,375,person,111,89,417,375
000285.jpg,500,375,person,224,77,462,375
000285.jpg,500,375,person,37,97,231,375
000285.jpg,500,375,chair,369,203,437,375
000285.jpg,500,375,chair,120,220,229,375
000294.jpg,500,375,bird,330,11,454,368
000294.jpg,500,375,bird,55,93,167,371
000298.jpg,500,388,person,180,32,339,359
000302.jpg,500,375,car,488,276,500,320
000302.jpg,500,375,car,475,251,486,273
000302.jpg,500,375,car,279,225,478,340
000302.jpg,500,375,car,245,230,316,280
000302.jpg,500,375,car,1,241,87,375
000302.jpg,500,375,person,133,244,184,367
000302.jpg,500,375,motorbike,121,273,213,367
